Radius,1600-1d-15Kx_057_M3_Radius Histo.csv,1600-1d.2-15Kx_065_S2_Radius Histo.csv,1600-1d.2-15Kx_069_S8_Radius Histo.csv,1600-1d.2-15Kx_070_M1_Radius Histo.csv,Sum_of_Frequencies,Average Cumulative Diameter,Cumulative Diameter SD,Cumulative Diameter Skewness,Cumulative Diameter Kurtosis
1.0180,8,2,2,2,14,0,0,0,0
1.0270,5,1,5,3,14,0,0,0,0
1.0360,5,1,2,7,15,0,0,0,0
1.0450,4,2,3,17,26,0,0,0,0
1.0541,4,1,5,3,13,0,0,0,0
1.0631,3,9,5,0,17,0,0,0,0
1.0721,3,29,3,27,62,0,0,0,0
1.0811,3,36,12,8,59,0,0,0,0
1.0901,3,48,6,6,63,0,0,0,0
1.0991,3,99,0,5,107,0,0,0,0
1.1081,2,48,0,4,54,0,0,0,0
1.1171,3,58,0,3,64,0,0,0,0
1.1261,1,15,0,4,20,0,0,0,0
1.1351,0,0,0,5,5,0,0,0,0
1.1441,0,0,39,4,43,0,0,0,0
1.1532,0,0,10,4,14,0,0,0,0
1.1622,0,0,6,4,10,0,0,0,0
1.1712,0,0,5,4,9,0,0,0,0
1.1802,0,0,4,4,8,0,0,0,0
1.1892,0,0,3,5,8,0,0,0,0
1.1982,0,0,4,8,12,0,0,0,0
1.2072,0,0,3,10,13,0,0,0,0
1.2162,0,0,3,37,40,0,0,0,0
1.2252,0,0,3,48,51,0,0,0,0
1.2342,0,0,2,37,39,0,0,0,0
1.2432,0,0,3,34,37,0,0,0,0
1.2523,0,0,3,23,26,0,0,0,0
1.2613,0,0,3,4,7,0,0,0,0
1.2703,0,0,3,1,4,0,0,0,0
1.2793,0,0,4,0,4,0,0,0,0
1.2883,0,0,4,0,4,0,0,0,0
1.2973,0,0,3,0,3,0,0,0,0
1.3063,0,0,5,0,5,0,0,0,0
1.3153,0,0,31,0,31,0,0,0,0
1.3243,0,0,20,0,20,0,0,0,0
1.3333,0,0,16,0,16,0,0,0,0
1.3423,0,0,40,0,40,0,0,0,0
1.3514,0,0,40,0,40,0,0,0,0
1.3604,0,0,18,0,18,0,0,0,0
1.3694,0,0,14,0,14,0,0,0,0
1.3784,0,0,4,0,4,0,0,0,0
1.3874,0,0,11,0,11,0,0,0,0
1.3964,0,0,17,0,17,0,0,0,0
1.4054,0,0,0,0,0,0,0,0,0
1.4144,0,0,0,0,0,0,0,0,0
1.4234,0,0,0,0,0,0,0,0,0
1.4324,0,0,0,0,0,0,0,0,0
1.4414,0,0,0,0,0,0,0,0,0
1.4505,0,0,0,0,0,0,0,0,0
1.4595,0,0,0,0,0,0,0,0,0
1.4685,0,0,0,0,0,0,0,0,0
1.4775,0,0,0,0,0,0,0,0,0
1.4865,0,0,0,0,0,0,0,0,0
1.4955,0,0,0,0,0,0,0,0,0
1.5045,0,0,0,0,0,0,0,0,0
1.5135,0,0,0,0,0,0,0,0,0
1.5225,0,0,0,0,0,0,0,0,0
1.5315,0,0,0,0,0,0,0,0,0
1.5405,0,0,0,0,0,0,0,0,0
1.5495,0,0,0,0,0,0,0,0,0
1.5586,0,0,0,0,0,0,0,0,0
1.5676,0,0,0,0,0,0,0,0,0
1.5766,0,0,0,0,0,0,0,0,0
1.5856,0,0,0,0,0,0,0,0,0
1.5946,0,0,0,0,0,0,0,0,0
1.6036,0,0,0,0,0,0,0,0,0
1.6126,0,0,0,0,0,0,0,0,0
1.6216,0,0,0,0,0,0,0,0,0
1.6306,0,0,0,0,0,0,0,0,0
1.6396,0,0,0,0,0,0,0,0,0
1.6486,0,0,0,0,0,0,0,0,0
1.6577,0,0,0,0,0,0,0,0,0
1.6667,0,0,0,0,0,0,0,0,0
1.6757,0,0,0,0,0,0,0,0,0
1.6847,0,0,0,0,0,0,0,0,0
1.6937,0,0,0,0,0,0,0,0,0
1.7027,0,0,0,0,0,0,0,0,0
1.7117,0,0,0,0,0,0,0,0,0
1.7207,0,0,0,0,0,0,0,0,0
1.7297,0,0,0,0,0,0,0,0,0
1.7387,0,0,0,0,0,0,0,0,0
1.7477,0,0,0,0,0,0,0,0,0
1.7568,0,0,0,0,0,0,0,0,0
1.7658,0,0,0,0,0,0,0,0,0
1.7748,0,0,0,0,0,0,0,0,0
1.7838,0,0,0,0,0,0,0,0,0
1.7928,0,0,0,0,0,0,0,0,0
1.8018,0,0,0,0,0,0,0,0,0
1.8108,0,0,0,0,0,0,0,0,0
