Radius,1600-3d-3Kx_093_S5_Radius Histo.csv,1600-3d-3Kx_097_S5_Radius Histo.csv,1600-3d-3Kx_102_M1_Radius Histo.csv,1600-3d.2-3Kx_107_S6_Radius Histo.csv,1600-3d.2-3Kx_111_M1_Radius Histo.csv,Sum_of_Frequencies,Average Cumulative Diameter,Cumulative Diameter SD,Cumulative Diameter Skewness,Cumulative Diameter Kurtosis
4.0991,0,0,0,0,0,0,0,0,0,0
4.1441,0,0,0,0,0,0,0,0,0,0
4.1892,0,0,0,0,0,0,0,0,0,0
4.2342,0,0,0,0,0,0,0,0,0,0
4.2793,0,0,0,0,0,0,0,0,0,0
4.3243,0,0,0,0,0,0,0,0,0,0
4.3694,0,0,0,0,0,0,0,0,0,0
4.4144,0,0,0,0,0,0,0,0,0,0
4.4595,0,0,0,0,0,0,0,0,0,0
4.5045,0,0,0,0,0,0,0,0,0,0
4.5495,0,0,0,0,0,0,0,0,0,0
4.5946,0,0,0,0,0,0,0,0,0,0
4.6396,0,0,0,0,0,0,0,0,0,0
4.6847,0,0,0,0,0,0,0,0,0,0
4.7297,0,0,0,0,0,0,0,0,0,0
4.7748,0,0,0,0,0,0,0,0,0,0
4.8198,0,0,0,0,0,0,0,0,0,0
4.8649,0,0,0,0,0,0,0,0,0,0
4.9099,0,0,0,0,0,0,0,0,0,0
4.9550,0,0,0,0,0,0,0,0,0,0
5.0000,0,0,0,0,0,0,0,0,0,0
5.0450,0,0,0,0,0,0,0,0,0,0
5.0901,0,0,0,0,0,0,0,0,0,0
5.1351,0,0,0,0,0,0,0,0,0,0
5.1802,0,0,0,0,0,0,0,0,0,0
5.2252,0,0,0,0,0,0,0,0,0,0
5.2703,0,0,0,0,0,0,0,0,0,0
5.3153,0,0,0,0,0,0,0,0,0,0
5.3604,0,0,0,0,0,0,0,0,0,0
5.4054,0,0,0,0,0,0,0,0,0,0
5.4505,0,0,0,0,0,0,0,0,0,0
5.4955,0,0,0,0,0,0,0,0,0,0
5.5405,0,0,0,0,0,0,0,0,0,0
5.5856,0,0,0,0,0,0,0,0,0,0
5.6306,0,0,0,0,0,0,0,0,0,0
5.6757,0,0,0,0,0,0,0,0,0,0
5.7207,0,0,0,0,0,0,0,0,0,0
5.7658,0,0,0,0,0,0,0,0,0,0
5.8108,0,0,0,0,0,0,0,0,0,0
5.8559,0,0,0,0,0,0,0,0,0,0
5.9009,0,0,0,0,0,0,0,0,0,0
5.9459,0,0,0,0,0,0,0,0,0,0
5.9910,0,0,0,0,0,0,0,0,0,0
6.0360,0,0,0,0,0,0,0,0,0,0
6.0811,0,0,0,0,0,0,0,0,0,0
6.1261,0,0,0,0,0,0,0,0,0,0
6.1712,0,0,0,0,0,0,0,0,0,0
6.2162,0,0,0,0,0,0,0,0,0,0
6.2613,0,0,0,0,0,0,0,0,0,0
6.3063,0,0,0,0,0,0,0,0,0,0
6.3514,0,0,0,0,0,0,0,0,0,0
6.3964,0,0,0,0,0,0,0,0,0,0
6.4414,0,0,0,0,0,0,0,0,0,0
6.4865,0,0,0,0,0,0,0,0,0,0
6.5315,0,0,0,0,0,0,0,0,0,0
6.5766,0,0,0,0,0,0,0,0,0,0
6.6216,0,0,0,0,0,0,0,0,0,0
6.6667,0,0,0,0,0,0,0,0,0,0
6.7117,0,0,0,0,0,0,0,0,0,0
6.7568,0,0,0,0,0,0,0,0,0,0
6.8018,0,0,0,0,0,0,0,0,0,0
6.8468,0,0,0,0,0,0,0,0,0,0
6.8919,0,0,0,0,0,0,0,0,0,0
6.9369,0,0,0,0,0,0,0,0,0,0
