Radius,1600-2d-3Kx_073_M3_Radius Histo.csv,1600-2d-3Kx_077_M3_Radius Histo.csv,1600-2d-3Kx_081_S7_Radius Histo.csv,1600-2d.2-3Kx_085_M3_Radius Histo.csv,1600-2d.2-3Kx_089_S7_Radius Histo.csv,Sum_of_Frequencies,Average Cumulative Diameter,Cumulative Diameter SD,Cumulative Diameter Skewness,Cumulative Diameter Kurtosis
5.2252,0,0,0,0,0,0,0,0,0,0
5.2703,0,0,0,0,0,0,0,0,0,0
5.3153,0,0,0,0,0,0,0,0,0,0
5.3604,0,0,0,0,0,0,0,0,0,0
5.4054,0,0,0,0,0,0,0,0,0,0
5.4505,0,0,0,0,0,0,0,0,0,0
5.4955,0,0,0,0,0,0,0,0,0,0
5.5405,0,0,0,0,0,0,0,0,0,0
5.5856,0,0,0,0,0,0,0,0,0,0
5.6306,0,0,0,0,0,0,0,0,0,0
5.6757,0,0,0,0,0,0,0,0,0,0
5.7207,0,0,0,0,0,0,0,0,0,0
5.7658,0,0,0,0,0,0,0,0,0,0
5.8108,0,0,0,0,0,0,0,0,0,0
5.8559,0,0,0,0,0,0,0,0,0,0
5.9009,0,0,0,0,0,0,0,0,0,0
5.9459,0,0,0,0,0,0,0,0,0,0
5.9910,0,0,0,0,0,0,0,0,0,0
6.0360,0,0,0,0,0,0,0,0,0,0
6.0811,0,0,0,0,0,0,0,0,0,0
6.1261,0,0,0,0,0,0,0,0,0,0
6.1712,0,0,0,0,0,0,0,0,0,0
6.2162,0,0,0,0,0,0,0,0,0,0
6.2613,0,0,0,0,0,0,0,0,0,0
6.3063,0,0,0,0,0,0,0,0,0,0
6.3514,0,0,0,0,0,0,0,0,0,0
6.3964,0,0,0,0,0,0,0,0,0,0
6.4414,0,0,0,0,0,0,0,0,0,0
6.4865,0,0,0,0,0,0,0,0,0,0
6.5315,0,0,0,0,0,0,0,0,0,0
6.5766,0,0,0,0,0,0,0,0,0,0
6.6216,0,0,0,0,0,0,0,0,0,0
6.6667,0,0,0,0,0,0,0,0,0,0
6.7117,0,0,0,0,0,0,0,0,0,0
6.7568,0,0,0,0,0,0,0,0,0,0
6.8018,0,0,0,0,0,0,0,0,0,0
6.8468,0,0,0,0,0,0,0,0,0,0
6.8919,0,0,0,0,0,0,0,0,0,0
6.9369,0,0,0,0,0,0,0,0,0,0
6.9820,0,0,0,0,0,0,0,0,0,0
7.0270,0,0,0,0,0,0,0,0,0,0
7.0721,0,0,0,0,0,0,0,0,0,0
7.1171,0,0,0,0,0,0,0,0,0,0
7.1622,0,0,0,0,0,0,0,0,0,0
7.2072,0,0,0,0,0,0,0,0,0,0
7.2523,0,0,0,0,0,0,0,0,0,0
7.2973,0,0,0,0,0,0,0,0,0,0
7.3423,0,0,0,0,0,0,0,0,0,0
7.3874,0,0,0,0,0,0,0,0,0,0
7.4324,0,0,0,0,0,0,0,0,0,0
7.4775,0,0,0,0,0,0,0,0,0,0
7.5225,0,0,0,0,0,0,0,0,0,0
7.5676,0,0,0,0,0,0,0,0,0,0
7.6126,0,0,0,0,0,0,0,0,0,0
7.6577,0,0,0,0,0,0,0,0,0,0
7.7027,0,0,0,0,0,0,0,0,0,0
7.7477,0,0,0,0,0,0,0,0,0,0
7.7928,0,0,0,0,0,0,0,0,0,0
7.8378,0,0,0,0,0,0,0,0,0,0
7.8829,0,0,0,0,0,0,0,0,0,0
7.9279,0,0,0,0,0,0,0,0,0,0
7.9730,0,0,0,0,0,0,0,0,0,0
8.0180,0,0,0,0,0,0,0,0,0,0
8.0631,0,0,0,0,0,0,0,0,0,0
8.1081,0,0,0,0,0,0,0,0,0,0
8.1532,0,0,0,0,0,0,0,0,0,0
8.1982,0,0,0,0,0,0,0,0,0,0
8.2432,0,0,0,0,0,0,0,0,0,0
8.2883,0,0,0,0,0,0,0,0,0,0
8.3333,0,0,0,0,0,0,0,0,0,0
8.3784,0,0,0,0,0,0,0,0,0,0
8.4234,0,0,0,0,0,0,0,0,0,0
8.4685,0,0,0,0,0,0,0,0,0,0
8.5135,0,0,0,0,0,0,0,0,0,0
8.5586,0,0,0,0,0,0,0,0,0,0
8.6036,0,0,0,0,0,0,0,0,0,0
8.6486,0,0,0,0,0,0,0,0,0,0
8.6937,0,0,0,0,0,0,0,0,0,0
8.7387,0,0,0,0,0,0,0,0,0,0
8.7838,0,0,0,0,0,0,0,0,0,0
8.8288,0,0,0,0,0,0,0,0,0,0
8.8739,0,0,0,0,0,0,0,0,0,0
8.9189,0,0,0,0,0,0,0,0,0,0
8.9640,0,0,0,0,0,0,0,0,0,0
9.0090,0,0,0,0,0,0,0,0,0,0
9.0541,0,0,0,0,0,0,0,0,0,0
9.0991,0,0,0,0,0,0,0,0,0,0
9.1441,0,0,0,0,0,0,0,0,0,0
9.1892,0,0,0,0,0,0,0,0,0,0
9.2342,0,0,0,0,0,0,0,0,0,0
9.2793,0,0,0,0,0,0,0,0,0,0
9.3243,0,0,0,0,0,0,0,0,0,0
9.3694,0,0,0,0,0,0,0,0,0,0
9.4144,0,0,0,0,0,0,0,0,0,0
9.4595,0,0,0,0,0,0,0,0,0,0
9.5045,0,0,0,0,0,0,0,0,0,0
9.5495,0,0,0,0,0,0,0,0,0,0
9.5946,0,0,0,0,0,0,0,0,0,0
9.6396,0,0,0,0,0,0,0,0,0,0
9.6847,0,0,0,0,0,0,0,0,0,0
9.7297,0,0,0,0,0,0,0,0,0,0
9.7748,0,0,0,0,0,0,0,0,0,0
9.8198,0,0,0,0,0,0,0,0,0,0
9.8649,0,0,0,0,0,0,0,0,0,0
9.9099,0,0,0,0,0,0,0,0,0,0
9.9550,0,0,0,0,0,0,0,0,0,0
10.0000,0,0,0,0,0,0,0,0,0,0
10.0450,0,0,0,0,0,0,0,0,0,0
10.0901,0,0,0,0,0,0,0,0,0,0
10.1351,0,0,0,0,0,0,0,0,0,0
10.1802,0,0,0,0,0,0,0,0,0,0
10.2252,0,0,0,0,0,0,0,0,0,0
10.2703,0,0,0,0,0,0,0,0,0,0
10.3153,0,0,0,0,0,0,0,0,0,0
10.3604,0,0,0,0,0,0,0,0,0,0
10.4054,0,0,0,0,0,0,0,0,0,0
10.4505,0,0,0,0,0,0,0,0,0,0
10.4955,0,0,0,0,0,0,0,0,0,0
10.5405,0,0,0,0,0,0,0,0,0,0
10.5856,0,0,0,0,0,0,0,0,0,0
10.6306,0,0,0,0,0,0,0,0,0,0
10.6757,0,0,0,0,0,0,0,0,0,0
10.7207,0,0,0,0,0,0,0,0,0,0
10.7658,0,0,0,0,0,0,0,0,0,0
10.8108,0,0,0,0,0,0,0,0,0,0
10.8559,0,0,0,0,0,0,0,0,0,0
10.9009,0,0,0,0,0,0,0,0,0,0
10.9459,0,0,0,0,0,0,0,0,0,0
10.9910,0,0,0,0,0,0,0,0,0,0
11.0360,0,0,0,0,0,0,0,0,0,0
11.0811,0,0,0,0,0,0,0,0,0,0
11.1261,0,0,0,0,0,0,0,0,0,0
11.1712,0,0,0,0,0,0,0,0,0,0
11.2162,0,0,0,0,0,0,0,0,0,0
11.2613,0,0,0,0,0,0,0,0,0,0
11.3063,0,0,0,0,0,0,0,0,0,0
11.3514,0,0,0,0,0,0,0,0,0,0
11.3964,0,0,0,0,0,0,0,0,0,0
11.4414,0,0,0,0,0,0,0,0,0,0
11.4865,0,0,0,0,0,0,0,0,0,0
